Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GVC3KSIaEAIg4Cb?format=png&name=small, https://pbs.twimg.com/media/GVC3KSIaEAIg4Cb?format=png&name=small",9.2K,55K,3.6K,18M,https://x.com/elonmusk/status/1824189343386284066,https://x.com/elonmusk,"Haha very accurate!

Grok could give you news that’s actually useful & doesn’t just make you feel sad.",Aug 16,2024-08-15T21:00:05.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUfNOVPa8AET2yw?format=jpg&name=small,14K,140K,5.5K,44M,https://x.com/elonmusk/status/1824177430606778646,https://x.com/elonmusk,Starships were meant to fly,Aug 16,2024-08-15T20:12:45.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/ext_tw_video_thumb/1823875948657217536/pu/img/atOjmJ1rW3BXCP5b.jpg,8K,52K,4.9K,16M,https://x.com/elonmusk/status/1824019125720539371,https://x.com/elonmusk,Good examples of how to make a wide range of cool images with Grok,Aug 15,2024-08-15T09:43:42.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GU-LNk4a4AMR6gV?format=jpg&name=small,5.1K,41K,3.3K,11M,https://x.com/elonmusk/status/1823864180400906326,https://x.com/elonmusk,,Aug 15,2024-08-14T23:28:01.000Z
DogeDesigner,@cb_doge,"https://pbs.twimg.com/amplify_video_thumb/1786590552365953024/img/tcJ77rDwNMrgFNpt.jpg, https://pbs.twimg.com/amplify_video_thumb/1786590552365953024/img/tcJ77rDwNMrgFNpt.jpg, https://pbs.twimg.com/amplify_video_thumb/1786590552365953024/img/tcJ77rDwNMrgFNpt.jpg",5.7K,25K,1.6K,2.3M,https://x.com/cb_doge/status/1823744437706743847,https://x.com/cb_doge,"Just a reminder:

𝕏 will pay legal bills of users 'unfairly treated' by their employer due to posting something on this platform.",Aug 14,2024-08-14T15:32:12.000Z
Elon Musk,@elonmusk,,3.2K,25K,3K,13M,https://x.com/elonmusk/status/1823745969575637416,https://x.com/elonmusk,Subscribe to 𝕏 Premium for the most fun!,Aug 14,2024-08-14T15:38:17.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1823742429050417152/img/qnjBLFf3ESNkkXpJ.jpg,253K,1.8M,102K,132M,https://x.com/elonmusk/status/1823742501884453312,https://x.com/elonmusk,Haters will say this is AI,Aug 14,2024-08-14T15:24:30.000Z
Elon Musk,@elonmusk,,1.4K,18K,1.9K,1.2M,https://x.com/elonmusk/status/1823736173661184281,https://x.com/elonmusk,Do we have great moves or what?,Aug 14,2024-08-14T14:59:21.000Z
Farzad,@farzyness,"https://pbs.twimg.com/media/GN901aiWsAA7QIB?format=jpg&name=small, https://pbs.twimg.com/media/GN901aiWsAA7QIB?format=jpg&name=small",1.6K,6.9K,1.2K,2.2M,https://x.com/farzyness/status/1792294458660151331,https://x.com/farzyness,"The US has a fertility crisis, but we can easily fix it.

The fertility rate in the US is below replacement rate, at 1.78 births per woman in 2023. This is the lowest rate on record. This means that if we continue on, the US population will progressively get older and smaller.",May 20,2024-05-19T20:41:12.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/ext_tw_video_thumb/1611024192010608649/pu/img/qJKkOkielOqRKSqu.jpg,56K,545K,17K,83M,https://x.com/elonmusk/status/1823733168530448698,https://x.com/elonmusk,,Aug 14,2024-08-14T14:47:25.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1823685568426831872/img/Sir5sjElcm_u8tOs.jpg,37K,342K,13K,44M,https://x.com/elonmusk/status/1823730362264248798,https://x.com/elonmusk,,Aug 14,2024-08-14T14:36:16.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GU8pLSYXoAAjY37?format=jpg&name=small,7.9K,115K,3.9K,42M,https://x.com/elonmusk/status/1823728989921534265,https://x.com/elonmusk,Drive long distance anywhere in America!,Aug 14,2024-08-14T14:30:49.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GU8sO3MbIAA8mw4?format=jpg&name=small,23K,287K,5.5K,27M,https://x.com/elonmusk/status/1823725011280257501,https://x.com/elonmusk,Even Neo had to “Accept cookies to continue”,Aug 14,2024-08-14T14:15:00.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GU5TaGDWAAAONtX?format=jpg&name=small,15K,95K,7.9K,13M,https://x.com/elonmusk/status/1823723016741961818,https://x.com/elonmusk,Interesting demographics,Aug 14,2024-08-14T14:07:04.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GU6x9-3a4AILPhP?format=jpg&name=small, https://pbs.twimg.com/media/GU6x9-3a4AILPhP?format=jpg&name=small",20K,335K,8.9K,44M,https://x.com/elonmusk/status/1823590581190492398,https://x.com/elonmusk,Tesla HQ pic taken this morning,Aug 14,2024-08-14T05:20:49.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1823566318723104768/img/3UV16pELxStr0DB8.jpg,15K,67K,4K,8.9M,https://x.com/elonmusk/status/1823567146661896401,https://x.com/elonmusk,Very important! An amazing number of people still believe the legacy media propaganda.,Aug 14,2024-08-14T03:47:42.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GU6buK_aIAAL3PF?format=jpg&name=small, https://pbs.twimg.com/media/GU6buK_aIAAL3PF?format=jpg&name=small",44K,699K,7.6K,65M,https://x.com/elonmusk/status/1823566118608625721,https://x.com/elonmusk,lol,Aug 14,2024-08-14T03:43:37.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GU5jQpVXAAAzJvD?format=jpg&name=small, https://pbs.twimg.com/media/GU5jQpVXAAAzJvD?format=jpg&name=small",66K,265K,11K,21M,https://x.com/elonmusk/status/1823514122316808644,https://x.com/elonmusk,This platform is being asked to censor content in Brazil where the censorship demands require us to violate Brazilian law! That is not right.,Aug 14,2024-08-14T00:17:00.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1823427918892089345/img/KDGJ2Wr-8aV54oXa.jpg,45K,225K,9.8K,28M,https://x.com/elonmusk/status/1823498527743598968,https://x.com/elonmusk,Conversation with @realDonaldTrump with higher quality audio,Aug 14,2024-08-13T23:15:02.000Z
Elon Musk,@elonmusk,,30K,183K,9.1K,28M,https://x.com/elonmusk/status/1823482748239225330,https://x.com/elonmusk,It’s wild,Aug 14,2024-08-13T22:12:20.000Z
Mario Nawfal,@MarioNawfal,https://pbs.twimg.com/media/GU4RvQDXcAAYRVu?format=png&name=small,385,17K,185,2.7M,https://x.com/MarioNawfal/status/1823420741439906024,https://x.com/MarioNawfal,"ELON: CITIZEN JOURNALISM OUTPACES LEGACY MEDIA

“Citizen journalism from actual domain experts and people actually on the ground is much faster, more accurate and has less bias than the legacy media!”

Source: X",Aug 13,2024-08-13T17:41:36.000Z
Elon Musk,@elonmusk,,16K,97K,5.9K,26M,https://x.com/elonmusk/status/1823418481918009496,https://x.com/elonmusk,"In case you missed the original recording. 

Skip the beginning part.",Aug 13,2024-08-13T17:56:58.000Z
Jeremy Carl,@realJeremyCarl,https://pbs.twimg.com/media/GU0Mugna8AAYBGU?format=png&name=small,4.3K,17K,1.3K,2.6M,https://x.com/realJeremyCarl/status/1823127454799769822,https://x.com/realJeremyCarl,Do I need to spell it out for you?,Aug 13,2024-08-12T22:40:31.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GU3fbWYbgAA7Nj8?format=jpg&name=small, https://pbs.twimg.com/media/GU3fbWYbgAA7Nj8?format=jpg&name=small",97K,455K,28K,31M,https://x.com/elonmusk/status/1823367936909951302,https://x.com/elonmusk,"A wall of negative headlines was so predictable. They’re such NPCs 

All this does is drive even more people to listen to the conversation themselves and realize how much the legacy media lies to them!",Aug 13,2024-08-13T14:36:07.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/ext_tw_video_thumb/1823233635358736384/pu/img/ML2qVqQiGt3L_62x.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1823233635358736384/pu/img/ML2qVqQiGt3L_62x.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1823233635358736384/pu/img/ML2qVqQiGt3L_62x.jpg",17K,97K,4.4K,14M,https://x.com/elonmusk/status/1823254636536688934,https://x.com/elonmusk,Yes,Aug 13,2024-08-13T07:05:54.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/amplify_video_thumb/1823250438885355520/img/9-WSj5a8nAbRZs5k.jpg, https://pbs.twimg.com/amplify_video_thumb/1823250438885355520/img/9-WSj5a8nAbRZs5k.jpg, https://pbs.twimg.com/amplify_video_thumb/1823250438885355520/img/9-WSj5a8nAbRZs5k.jpg",109K,578K,11K,59M,https://x.com/elonmusk/status/1823254086126608862,https://x.com/elonmusk,,Aug 13,2024-08-13T07:03:43.000Z
Elon Musk,@elonmusk,,44K,233K,15K,50M,https://x.com/elonmusk/status/1823249070296797515,https://x.com/elonmusk,Combined views of the conversation with @realDonaldTrump and subsequent discussion by other accounts now ~1 billion,Aug 13,2024-08-13T06:43:47.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GU1rdcYa8AA--v9?format=jpg&name=small, https://pbs.twimg.com/media/GU1rdcYa8AA--v9?format=jpg&name=small",22K,167K,5.4K,27M,https://x.com/elonmusk/status/1823232603517862079,https://x.com/elonmusk,It has become so obvious,Aug 13,2024-08-13T05:38:21.000Z
Elon Musk,@elonmusk,"data:,",45K,298K,6K,36M,https://x.com/elonmusk/status/1823231216474309082,https://x.com/elonmusk,,Aug 13,2024-08-13T05:32:50.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1823193357784342529/img/8N2HCzXEazfBoIw3.jpg,55K,332K,6K,35M,https://x.com/elonmusk/status/1823218454369124491,https://x.com/elonmusk,,Aug 13,2024-08-13T04:42:07.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GU1dcCObgAAcCoC?format=jpg&name=small,31K,182K,6.2K,17M,https://x.com/elonmusk/status/1823218291097395334,https://x.com/elonmusk,It will blow up even more tomorrow,Aug 13,2024-08-13T04:41:29.000Z
Elon Musk,@elonmusk,,65K,655K,39K,83M,https://x.com/elonmusk/status/1823217769229566251,https://x.com/elonmusk,Happy to host Kamala on an 𝕏 Spaces too,Aug 13,2024-08-13T04:39:24.000Z
Elon Musk,@elonmusk,,17K,107K,5.7K,37M,https://x.com/elonmusk/status/1823217057737187699,https://x.com/elonmusk,This is the long version. Shorter edit of highlights coming soon.,Aug 13,2024-08-13T04:36:34.000Z
Elon Musk,@elonmusk,,23K,155K,12K,51M,https://x.com/elonmusk/status/1823153581882810650,https://x.com/elonmusk,We tested the system with 8 million concurrent listeners earlier today,Aug 13,2024-08-13T00:24:21.000Z
Elon Musk,@elonmusk,,67K,327K,33K,81M,https://x.com/elonmusk/status/1823152153445404990,https://x.com/elonmusk,"There appears to be a massive DDOS attack on 𝕏. Working on shutting it down. 

Worst case, we will proceed with a smaller number of live listeners and post the conversation later.",Aug 13,2024-08-13T00:18:40.000Z
Donald J. Trump,@realDonaldTrump,,172K,729K,327K,271M,https://x.com/realDonaldTrump/status/1823144316014911820,https://x.com/realDonaldTrump,,Aug 13,2024-08-12T23:47:31.000Z
Elon Musk,@elonmusk,,12K,99K,14K,32M,https://x.com/elonmusk/status/1823146750670233818,https://x.com/elonmusk,Conversation with @realDonaldTrump starts in a few minutes,Aug 13,2024-08-12T23:57:12.000Z
Elon Musk,@elonmusk,,20K,149K,7.6K,20M,https://x.com/elonmusk/status/1823145146562814413,https://x.com/elonmusk,"My use of the word conversation is deliberate.

This is so that people understand how @realDonaldTrump talks when it’s a conversation, rather than an interview. 

Nobody is quite themselves in an interview, so it’s hard to understand what they’re really like.",Aug 13,2024-08-12T23:50:49.000Z
Elon Musk,@elonmusk,,26K,262K,13K,54M,https://x.com/elonmusk/status/1823135966472859785,https://x.com/elonmusk,Conversation with @realDonaldTrump in 45 minutes!,Aug 13,2024-08-12T23:14:21.000Z
Elon Musk,@elonmusk,,15K,94K,2.6K,34M,https://x.com/elonmusk/status/1823134905607602385,https://x.com/elonmusk,Wow,Aug 13,2024-08-12T23:10:08.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUz8x09XwAADCCZ?format=jpg&name=small, https://pbs.twimg.com/media/GUz8x09XwAADCCZ?format=jpg&name=small",69K,297K,9.9K,21M,https://x.com/elonmusk/status/1823109887335022638,https://x.com/elonmusk,Wise words of JFK,Aug 13,2024-08-12T21:30:43.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUzlwL7bsAAwviR?format=jpg&name=small, https://pbs.twimg.com/media/GUzlwL7bsAAwviR?format=jpg&name=small",6.8K,67K,2.6K,12M,https://x.com/elonmusk/status/1823104254879367450,https://x.com/elonmusk,This is cool,Aug 13,2024-08-12T21:08:20.000Z
Elon Musk,@elonmusk,,26K,208K,8.3K,40M,https://x.com/elonmusk/status/1823087408046547230,https://x.com/elonmusk,A society should “make the right things easy and the wrong things hard” (Ray Hunt),Aug 13,2024-08-12T20:01:24.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUzd_2_aIAAoE2X?format=jpg&name=small,85K,511K,25K,63M,https://x.com/elonmusk/status/1823076043017630114,https://x.com/elonmusk,"To be honest, I really wanted to respond with this Tropic Thunder meme, but I would NEVER do something so rude & irresponsible!",Aug 13,2024-08-12T19:16:14.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/amplify_video_thumb/1822750868036317184/img/na6kim2XuQlQpexh.jpg,52K,164K,4.7K,15M,https://x.com/elonmusk/status/1823075494516158815,https://x.com/elonmusk,"Wow, this is concerning",Aug 13,2024-08-12T19:14:03.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUvq69iWcAEUzCO?format=jpg&name=small, https://pbs.twimg.com/media/GUvq69iWcAEUzCO?format=jpg&name=small",18K,323K,8.4K,43M,https://x.com/elonmusk/status/1822808777952747910,https://x.com/elonmusk,,Aug 12,2024-08-12T01:34:13.000Z
Elon Musk,@elonmusk,,8.4K,71K,5.5K,15M,https://x.com/elonmusk/status/1822802959404835108,https://x.com/elonmusk,Streaming Test,Aug 12,2024-08-12T01:11:06.000Z
Elon Musk,@elonmusk,,19K,202K,8.4K,39M,https://x.com/elonmusk/status/1822800951855477133,https://x.com/elonmusk,Am going to do some system scaling tests tonight & tomorrow in advance of the conversation with @realDonaldTrump,Aug 12,2024-08-12T01:03:07.000Z
Elon Musk,@elonmusk,,50K,295K,27K,82M,https://x.com/elonmusk/status/1822799027580137510,https://x.com/elonmusk,Live conversation on 𝕏 with @realDonaldTrump & me at 8pm ET tomorrow,Aug 12,2024-08-12T00:55:28.000Z
Elon Musk,@elonmusk,,6.7K,57K,12K,4.4M,https://x.com/elonmusk/status/1822800186520838531,https://x.com/elonmusk,"This is unscripted with no limits on subject matter, so should be highly entertaining!

If you have specific questions & comments, post them under the chat.",Aug 12,2024-08-12T01:00:05.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUvFk7KWcAAk6wi?format=jpg&name=small, https://pbs.twimg.com/media/GUvFk7KWcAAk6wi?format=jpg&name=small",27K,133K,7.6K,35M,https://x.com/elonmusk/status/1822768922996691026,https://x.com/elonmusk,Is there any study contradicting this one?,Aug 12,2024-08-11T22:55:51.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUtx1M2bwAAd8Pc?format=jpg&name=small, https://pbs.twimg.com/media/GUtx1M2bwAAd8Pc?format=jpg&name=small",25K,447K,5.6K,64M,https://x.com/elonmusk/status/1822764729992929481,https://x.com/elonmusk,How time flies,Aug 12,2024-08-11T22:39:11.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUvCnMKWIAErtMW?format=jpg&name=small, https://pbs.twimg.com/media/GUvCnMKWIAErtMW?format=jpg&name=small",17K,215K,8.6K,34M,https://x.com/elonmusk/status/1822764457640055012,https://x.com/elonmusk,Grok 2 beta release soon,Aug 12,2024-08-11T22:38:06.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUu41quasAAsqOi?format=jpg&name=small, https://pbs.twimg.com/media/GUu41quasAAsqOi?format=jpg&name=small",89K,355K,16K,22M,https://x.com/elonmusk/status/1822753713762738559,https://x.com/elonmusk,"First thing a dictator does is ban private ownership of guns. Chavez did this in 2012, so the people couldn’t fight back.",Aug 12,2024-08-11T21:55:25.000Z
Elon Musk,@elonmusk,,1.7K,12K,349,2.3M,https://x.com/elonmusk/status/1822753780695535797,https://x.com/elonmusk,,Aug 12,2024-08-11T21:55:41.000Z
Elon Musk,@elonmusk,,3.5K,32K,1.5K,2.3M,https://x.com/elonmusk/status/1822754139929301330,https://x.com/elonmusk,Of course they always say it’s for your own safety …,Aug 12,2024-08-11T21:57:06.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/ext_tw_video_thumb/1822696923696103424/pu/img/P0uhKWRIOLc1ZJkv.jpg,27K,107K,5.9K,15M,https://x.com/elonmusk/status/1822747138276897186,https://x.com/elonmusk,"Maybe true, maybe not, but the Google political bias is certainly troubling",Aug 12,2024-08-11T21:29:17.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUpMY1xX0AA9VV1?format=jpg&name=small, https://pbs.twimg.com/media/GUpMY1xX0AA9VV1?format=jpg&name=small",248K,1M,51K,71M,https://x.com/elonmusk/status/1822352993422901402,https://x.com/elonmusk,,Aug 11,2024-08-10T19:23:05.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUoruqcWAAAIq75?format=jpg&name=small, https://pbs.twimg.com/media/GUoruqcWAAAIq75?format=jpg&name=small",15K,120K,4.2K,35M,https://x.com/elonmusk/status/1822352608993882242,https://x.com/elonmusk,,Aug 11,2024-08-10T19:21:34.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/ext_tw_video_thumb/1822311294785011712/pu/img/tkaaOsin63w9Ik-U.jpg,35K,260K,7.9K,49M,https://x.com/elonmusk/status/1822352230269202465,https://x.com/elonmusk,,Aug 11,2024-08-10T19:20:04.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUodBtnWsAA70ew?format=jpg&name=360x360, https://pbs.twimg.com/media/GUodBtnWsAA70ew?format=jpg&name=360x360",8.7K,33K,3.8K,7.6M,https://x.com/elonmusk/status/1822350930592842127,https://x.com/elonmusk,Great post on humanity’s population collapse!,Aug 11,2024-08-10T19:14:54.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUoHXVEaQAACn99?format=jpg&name=small, https://pbs.twimg.com/media/GUoHXVEaQAACn99?format=jpg&name=small",8.8K,70K,3.5K,7.6M,https://x.com/elonmusk/status/1822349748013031808,https://x.com/elonmusk,Starlink!,Aug 11,2024-08-10T19:10:12.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUo92VOWEAI5fee?format=jpg&name=small,39K,169K,7.5K,33M,https://x.com/elonmusk/status/1822348987581485150,https://x.com/elonmusk,True,Aug 11,2024-08-10T19:07:10.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUoV5PCXcAA2M5P?format=jpg&name=small,33K,137K,10K,31M,https://x.com/elonmusk/status/1822301100046733505,https://x.com/elonmusk,This is messed up,Aug 10,2024-08-10T15:56:53.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUoTZq_W0AA2Tg0?format=jpg&name=900x900,128K,903K,36K,101M,https://x.com/elonmusk/status/1822290335059353965,https://x.com/elonmusk,Found this pic of the UK justice system,Aug 10,2024-08-10T15:14:07.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/ext_tw_video_thumb/1822203113689751553/pu/img/qQ9uLXaa0FdRI_Ws.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1822203113689751553/pu/img/qQ9uLXaa0FdRI_Ws.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1822203113689751553/pu/img/qQ9uLXaa0FdRI_Ws.jpg",17K,84K,3.7K,9.2M,https://x.com/elonmusk/status/1822240335197512098,https://x.com/elonmusk,Obviously true,Aug 10,2024-08-10T11:55:26.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUnSgA7XoAAeBZj?format=jpg&name=small, https://pbs.twimg.com/media/GUnSgA7XoAAeBZj?format=jpg&name=small",54K,221K,7.6K,25M,https://x.com/elonmusk/status/1822240041785024782,https://x.com/elonmusk,Sure seems like unequal justice in the UK,Aug 10,2024-08-10T11:54:16.000Z
Elon Musk,@elonmusk,,10K,57K,3.1K,13M,https://x.com/elonmusk/status/1822239573050528093,https://x.com/elonmusk,Wow https://x.com/RichardDawkins/RichardDawkins/status/1822166372819853352…,Aug 10,2024-08-10T11:52:24.000Z
Elon Musk,@elonmusk,,129K,568K,45K,71M,https://x.com/elonmusk/status/1822238167216345245,https://x.com/elonmusk,"Freedom of speech is the bedrock of democracy. If the truth is suppressed, it is impossible to make an informed voting decision.

The degree to which freedom of speech is being undermined around the world is extremely alarming.",Aug 10,2024-08-10T11:46:49.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUmdsrGXEAASdag?format=jpg&name=small, https://pbs.twimg.com/media/GUmdsrGXEAASdag?format=jpg&name=small",34K,153K,6.8K,20M,https://x.com/elonmusk/status/1822236785050529832,https://x.com/elonmusk,Observing protests is apparently illegal,Aug 10,2024-08-10T11:41:19.000Z
Wall Street Silver,@WallStreetSilv,"https://pbs.twimg.com/media/GUkCCGXW8AAllGO?format=jpg&name=small, https://pbs.twimg.com/media/GUkCCGXW8AAllGO?format=jpg&name=small",29K,135K,2.7K,4.6M,https://x.com/WallStreetSilv/status/1821989762250453487,https://x.com/WallStreetSilv,The UK police now …,Aug 10,2024-08-09T19:19:44.000Z
Sir Doge of the Coin,@dogeofficialceo,"https://pbs.twimg.com/media/GUjeja0WsAwiQ9V?format=jpg&name=small, https://pbs.twimg.com/media/GUjeja0WsAwiQ9V?format=jpg&name=small",9.8K,65K,924,3.4M,https://x.com/dogeofficialceo/status/1821950759522447867,https://x.com/dogeofficialceo,"“You’re sheltering shitposters under your floorboards, are you not?”",Aug 9,2024-08-09T16:44:45.000Z
Elon Musk,@elonmusk,https://pbs.twimg.com/media/GUlTKuMXMAAFaY3?format=png&name=small,63K,261K,12K,18M,https://x.com/elonmusk/status/1822151836171640992,https://x.com/elonmusk,Live free or die,Aug 10,2024-08-10T06:03:46.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/ext_tw_video_thumb/1821864053314080768/pu/img/WWLdmSwH2hsOr6Ct.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1821864053314080768/pu/img/WWLdmSwH2hsOr6Ct.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1821864053314080768/pu/img/WWLdmSwH2hsOr6Ct.jpg",7.9K,60K,4.4K,16M,https://x.com/elonmusk/status/1821923397217218882,https://x.com/elonmusk,Yeah,Aug 9,2024-08-09T14:56:02.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/GUjCJ2_WUAAcWEf?format=jpg&name=small, https://pbs.twimg.com/media/GUjCJ2_WUAAcWEf?format=jpg&name=small",20K,97K,23K,40M,https://x.com/elonmusk/status/1821923328510054495,https://x.com/elonmusk,Population is collapsing rapidly,Aug 9,2024-08-09T14:55:45.000Z
Elon Musk,@elonmusk,,45K,200K,16K,35M,https://x.com/elonmusk/status/1821917780381208712,https://x.com/elonmusk,"The rise in prices (inflation) is caused by government overspending, which increases the amount of money faster than the increase in goods & services output.

That is the vast majority of the problem. 

Inflation was particularly bad during the Covid years, as there was massive",Aug 9,2024-08-09T14:33:43.000Z
